v_p	A_p	v_s	A_s	νk	ipda	νk	isda
2135.91527	0.003707961319820534	2135.91527	0.007105384097016748	2129.23	0.0417803233862032	2129.23	0.04490949148465396
2135.9454	0.003762680031444199	2135.9454	0.007239519776531117	2129.25	0.04284022030720576	2129.25	0.045952018385744885
2135.97553	0.003842398743067868	2135.97553	0.007393655456045478	2129.27	0.04371627111388695	2129.27	0.04682666456453082
2136.00567	0.003937117361333307	2136.00567	0.0075777908486961	2129.29	0.044381672901586545	2129.29	0.04749674712135458
2136.0358	0.004046836072956965	2136.0358	0.00778192652821047	2129.31	0.044841692091240795	2129.31	0.0479611013745127
2136.06593	0.0041615547845806344	2136.06593	0.00799106220772483	2129.33	0.04513658063232538	2129.33	0.04826202182550004
2136.09607	0.00426627340284607	2136.09607	0.008200197600375464	2129.35	0.04533691840130799	2129.35	0.04848316352647186
2136.1262	0.004365992114469738	2136.1262	0.008399333279889828	2129.37	0.04553182772082812	2129.37	0.04873621065895772
2136.15634	0.004455710732735166	2136.15634	0.00859346867254046	2129.39	0.04581310915163962	2129.39	0.049139346440001716
2136.18647	0.004545429444358838	2136.18647	0.008792604352054811	2129.41	0.04625981250728764	2129.41	0.04979390269511354
2136.2166	0.004635148155982503	2136.2166	0.008996740031569195	2129.43	0.04692730599458504	2129.43	0.050766307609500225
2136.24674	0.00474486677424793	2136.24674	0.009225875424219807	2129.45	0.047842844290211684	2129.45	0.052080219257984894
2136.27687	0.0048695854858716026	2136.27687	0.00947501110373418	2129.47	0.04900713784038124	2129.47	0.05371972271872587
2136.30701	0.0050093041041370315	2136.30701	0.009744146496384817	2129.49	0.050399750814405814	2129.49	0.055640657787878196
2136.33714	0.005164022815760692	2136.33714	0.010018282175899174	2129.51	0.051985875725889634	2129.51	0.057785114455320544
2136.36727	0.005313741527384369	2136.36727	0.010297417855413549	2129.53	0.05372280084123366	2129.53	0.060094289582747776
2136.39741	0.005458460145649796	2136.39741	0.010561553248064154	2129.55	0.05556534015461882	2129.55	0.06251653371991918
2136.42754	0.005593178857273458	2136.42754	0.010820688927578537	2129.57	0.057469942173588966	2129.57	0.06500942903343833
2136.45767	0.00571789756889713	2136.45767	0.01107982460709292	2129.59	0.05939706796302711	2129.59	0.06753638810402728
2136.48781	0.005842616187162565	2136.48781	0.011343959999743525	2129.61	0.06131124151546507	2129.61	0.07005943939050967
2136.51794	0.005977334898786227	2136.51794	0.011638095679257901	2129.63	0.06317853842304663	2129.63	0.07253078187960418
2136.54808	0.006127053517051659	2136.54808	0.01195723107190852	2129.65	0.06496236471615921	2129.65	0.07488637180093068
2136.57821	0.006296772228675335	2136.57821	0.012311366751422886	2129.67	0.06661969201077665	2129.67	0.07704485526546098
