Wavenumber	Absorbance
2132.51014	0.00030475101410850497
2132.54028	0.0002994696323739346
2132.57041	0.000294188343997602
2132.60055	0.0002839069622630336
2132.63068	0.000278625673886701
2132.66081	0.00027334438551036844
2132.69095	0.0002830630037757992
2132.72108	0.00029778171539947274
2132.75121	0.0003175004270231374
2132.78135	0.0003372190452885643
2132.81148	0.0003569377569122359
2132.84162	0.00037165637517765776
2132.87175	0.0003813750868013263
2132.90188	0.0003910937984250018
2132.93202	0.00040581241669042367
2132.96215	0.0004255311283140953
2132.99229	0.00045024974657952715
2133.02242	0.00047996845820320183
2133.05255	0.0004996871698268596
2133.08269	0.0005094057880922973
2133.11282	0.0004991244997159666
2133.14295	0.00047384321133963486
2133.17309	0.00044856182960505836
2133.20322	0.00042328054122873354
2133.23336	0.0004129991594941512
2133.26349	0.0004277178711178248
2133.29362	0.0004724365827415006
2133.32376	0.0005321552010069189
2133.35389	0.0006018739126305919
2133.38402	0.0006565926242542638
2133.41416	0.0006863112425196938
2133.44429	0.0006860299541433593
2133.47443	0.0006457485724087955
2133.50456	0.0005954672840324665
2133.53469	0.0005401859956561256
2133.56483	0.0005049046139215599
2133.59496	0.0005046233255452323
2133.6251	0.0005393419438106534
2133.65523	0.0005940606554343253
2133.68536	0.0006537793670579953
2133.7155	0.0006984979853234263
2133.74563	0.000718216696947091
2133.77576	0.0007179354085707634
2133.8059	0.00070265402683619
2133.83603	0.0006873727384598544
2133.86617	0.000687091356725289
2133.8963	0.0007068100683489537
2133.92643	0.0007415287799726195
2133.95657	0.0007812473982380524
2133.9867	0.0008159661098617252
2134.01684	0.0008356847281271451
2134.04697	0.0008454034397508206
2134.0771	0.0008501221513744911
2134.10724	0.0008598407696399218
2134.13737	0.0008895594812635826
2134.1675	0.0009242781928872554
2134.19764	0.0009689968111526864
2134.22777	0.0010087155227763503
2134.25791	0.0010384341410417872
2134.28804	0.0010531528526654538
2134.31817	0.0010578715642891173
2134.34831	0.001057590182554552
2134.37844	0.0010673088941782205
2134.40857	0.0010920276058018832
2134.43871	0.0011317462240673162
2134.46884	0.0011864649356909882
2134.49898	0.0012461835539564134
2134.52911	0.0013109022655800814
2134.55924	0.0013756209772037564
2134.58938	0.0014403395954691867
