Wavenumber	Absorbance
2132.51014	0.0006580649338978894
2132.54028	0.0006822003265484905
2132.57041	0.0007013360060628832
2132.60055	0.0007104713987134831
2132.63068	0.0007096070782278557
2132.66081	0.0007037427577422373
2132.69095	0.000702878150392855
2132.72108	0.0007120138299072376
2132.75121	0.0007361495094215936
2132.78135	0.0007702849020722186
2132.81148	0.0008044205815865846
2132.84162	0.0008385559742372095
2132.87175	0.0008676916537515705
2132.90188	0.0008868273332659493
2132.93202	0.0009059627259165592
2132.96215	0.000930098405430943
2132.99229	0.000954233798081558
2133.02242	0.0009783694775959279
2133.05255	0.0010025051571102978
2133.08269	0.0010166405497609166
2133.11282	0.0010207762292752942
2133.14295	0.0010149119087896619
2133.17309	0.0010040473014402834
2133.20322	0.001003182980954656
2133.23336	0.001012318373605256
2133.26349	0.0010464540531196498
2133.29362	0.001095589732634017
2133.32376	0.0011547251252846252
2133.35389	0.0012188608047990074
2133.38402	0.0012729964843133795
2133.41416	0.0013021318769639995
2133.44429	0.0013012675564783721
2133.47443	0.0012854029491289748
2133.50456	0.001254538628643359
2133.53469	0.0012236743081577295
2133.56483	0.001217809700808356
2133.59496	0.0012319453803227298
2133.6251	0.0012760807729733231
2133.65523	0.0013352164524877141
2133.68536	0.0014043521320020735
2133.7155	0.0014534875246526996
2133.74563	0.0014876232041670795
2133.77576	0.0015017588836814394
2133.8059	0.001495894276332066
2133.83603	0.0014950299558464247
2133.86617	0.0015041653484970524
2133.8963	0.0015283010280114362
2133.92643	0.0015674367075257933
2133.95657	0.0016165721001764194
2133.9867	0.0016557077796907765
2134.01684	0.0016898431723414153
2134.04697	0.0017189788518557764
2134.0771	0.0017431145313701463
2134.10724	0.0017772499240207712
2134.13737	0.0018213856035351333
2134.1675	0.0018805212830495105
2134.19764	0.00195465667570012
2134.22777	0.002023792355214493
2134.25791	0.0020879277478651204
2134.28804	0.0021420634273794925
2134.31817	0.0021811991068938635
2134.34831	0.0022203344995444796
2134.37844	0.0022544701790588456
2134.40857	0.0022936058585732166
2134.43871	0.0023427412512238427
2134.46884	0.002406876930738211
2134.49898	0.0024810123233888343
2134.52911	0.0025701480029031998
2134.55924	0.0026692836824175753
2134.58938	0.002783419075068197
2134.61951	0.0029075547545825697
2134.64965	0.0030416901472331836
2134.67978	0.0031758258267475525
2134.70991	0.0032999615062619253
2134.74005	0.003414096898912547
2134.77018	0.0035182325784269136
2134.80031	0.0036173682579412753
2134.83045	0.0037215036505919147
2134.86058	0.0038356393301062636
2134.89072	0.003974774722756896
2134.92085	0.004128910402271271
2134.95098	0.004298046081785634
